feature;length;width;thickness;weight;type;cortex;burned;mod
3370;19;10;2;0,3;flake;no cortex;unburned;unmod
3370;19;12;5;1;flake;no cortex;unburned;unmod
3370;11;6;2;0,1;flake;cortex;unburned;unmod
3370;15;10;2;0,2;flake;no cortex;unburned;unmod
3370;16;13;3;0,6;flake;no cortex;unburned;unmod
3370;13;10;2;0,2;blade;no cortex;unburned;unmod
3370;18;17;3;0,9;flake;no cortex;unburned;unmod
3370;27;12;8;2,3;flake;cortex;unburned;unmod
3370;18;14;3;0,7;flake;cortex;unburned;unmod
3370;16;10;3;0,6;flake;cortex;unburned;unmod
3370;20;11;2;0,3;flake;cortex;unburned;unmod
3370;15;10;2;0,2;flake;no cortex;unburned;unmod
3370;12;9;2;0,2;flake;cortex;unburned;unmod
3370;11;10;1;0,2;flake;cortex;unburned;unmod
3370;15;13;3;0,5;flake;no cortex;burned;unmod
3370;22;16;5;1,2;flake;cortex;burned;unmod
3371;40;32;9;9,5;flake;cortex;unburned;unmod
3372;13;9;2;0,3;flake;cortex;unburned;unmod
3372;17;13;2;0,4;flake;no cortex;unburned;mod
3372;17;17;3;0,9;flake;no cortex;unburned;unmod
3372;23;16;3;1;flake;no cortex;unburned;mod
3372;25;14;3;1;blade;no cortex;unburned;mod
3375;19;15;5;1;flake;cortex;burned;unmod
3376;30;25;6;3,7;flake;cortex;unburned;unmod
3376;15;13;3;0,6;blade;no cortex;unburned;unmod
3376;20;19;4;1,7;flake;no cortex;unburned;unmod
3376;29;15;2;0,9;flake;no cortex;unburned;unmod
3376;27;17;3;1,9;blade;cortex;unburned;unmod
3377;38;23;5;3;flake;no cortex;unburned;unmod
3377;17;14;4;0,9;flake;cortex;unburned;unmod
3377;19;13;2;0,7;blade;cortex;unburned;mod
3377;14;11;2;0,5;blade;no cortex;unburned;unmod
3385;35;27;8;6,1;flake;cortex;unburned;unmod
3407;21;15;3;0,9;flake;no cortex;unburned;mod
3409;28;14;5;1;blade;cortex;unburned;unmod
3421;26;18;4;1,5;blade;no cortex;unburned;mod
3423;26;24;9;5,1;flake;cortex;unburned;mod
3430;32;16;4;1,4;blade;no cortex;unburned;mod
3521;41;30;11;12,2;flake;cortex;unburned;unmod
3521;30;16;5;2;flake;no cortex;unburned;unmod
3521;23;9;6;0,8;flake;no cortex;unburned;unmod
3521;47;36;15;23;flake;cortex;unburned;mod
3521;42;18;5;3,5;blade;cortex;unburned;unmod
3521;31;23;6;5,2;blade;no cortex;unburned;mod
3521;15;10;6;0,8;flake;no cortex;unburned;unmod
3526;40;32;17;15,4;flake;no cortex;unburned;unmod
3526;25;18;8;3,7;blade;no cortex;unburned;mod
